platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,time_spent,timestamp
WebGLPlayer,,100,1.0,100,,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,GzEKHmiVoy5BFrzIOdGF,30.94628,2026-02-25 05:34:53.834000+00:00
WebGLPlayer,,100,1.0,100,,,1,,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,H3ppwf6zxzVUeaOSTLVS,56.6811638,2026-02-26 02:15:07.280000+00:00
WebGLPlayer,0.0,100,1.2,100,4.0,1773358651.0,1,0.0,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,H5ecefogLaLufmT0kMKI,,
WebGLPlayer,,100,1.0,100,,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,HvKlNDwVPEMKSyTitMOS,12.9330235,2026-02-26 06:48:08.599000+00:00
WebGLPlayer,,100,1.0,100,,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,IF2osWyBpcaf5IuZ8H4h,41.3155556,2026-02-25 04:47:49.391000+00:00
WebGLPlayer,,100,1.0,100,,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,IghpJnlO6zSP1kX1irUf,174.855347,2026-02-25 05:47:44.399000+00:00
WebGLPlayer,,100,1.0,100,,,1,,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,J4TW8V8EfgYFHuD5dd9i,25.55026,2026-02-26 02:21:17.144000+00:00
WebGLPlayer,,100,1.0,100,,,1,,d5b5b4bc-0911-4b4e-9bc3-66ebdc1c9bd0,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,JRzpGWupzqoLFoRBW71N,6.568006,2026-02-25 19:37:34.283000+00:00
WebGLPlayer,,100,1.0,100,,,1,,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,JgKTWdKMBRRQAIUyXNm5,29.5968914,2026-02-25 02:32:35.200000+00:00
WebGLPlayer,0.0,17,1.2,14,4.0,1773257291.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,K8yl1dtkkV5qce2QwHkk,,
WebGLPlayer,,100,1.0,100,,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,LEBZ8kLBFbZyIvOV2v2Y,325.6437,2026-02-25 04:58:26.796000+00:00
WebGLPlayer,0.0,49,1.2,46,3.0,1773274084.0,2,0.0,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,LMnVWlziN0OlJfUEY7Ue,,
