platform,level,cause,sensitivity_y,sensitivity_x,version,playthrough,timestamp,userId,domain,_doc_id,music,unix_time,ab_group
WebGLPlayer,4,stalker,100,100,1.0,1,2026-02-26 07:01:01.752000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,U8HPAHAaKfePeuYKqz8N,,,
WebGLPlayer,3,,100,100,1.2,1,,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,UN9CppicSqEaLpryIwUF,0.0,1773604417.0,1.0
WebGLPlayer,2,trigger,100,100,1.0,1,2026-02-28 00:17:28.462000+00:00,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,https://bmanske505.github.io/Escape-The-Forest/,UPum6vcSKgbukfu00yFw,,,
WebGLPlayer,4,,46,49,1.2,2,,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,UVHGDOQAOI0cFLHSi4Vx,0.0,1773274202.0,0.0
WebGLPlayer,3,,9,7,1.2,3,,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,VS0XwdfzcUs38Kc6xV0W,0.0,1773513790.0,1.0
WebGLPlayer,6,,100,100,1.2,1,,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,VZ0TryESlZLW8GbnLFi1,0.0,1773604969.0,1.0
WebGLPlayer,3,,9,7,1.2,3,,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,VZt5GVmhyoZAcgo15je4,0.0,1773513842.0,1.0
WebGLPlayer,3,,46,49,1.2,2,,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,VdbXWnTwiQNgsDsv6QVs,0.0,1773265234.0,0.0
WebGLPlayer,4,trigger,100,100,1.0,2,2026-02-25 05:12:44.549000+00:00,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,W4I7SX6JRG4Rro3H3NKu,,,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-26 07:05:09.389000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,W9Ig2NUinbpOWdtjsQW0,,,
WebGLPlayer,4,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,WDAn3hDpHjpVvh1WEt9r,0.0,1773257395.0,1.0
WebGLPlayer,2,trigger,100,100,1.0,1,2026-02-25 04:35:32.086000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,WIpZBaAit2JnXp6ps9Mx,,,
