platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,timestamp,type
WebGLPlayer,0.0,17,1.2,14,6,1773257882.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,BZuJIUQmFlUP1wxwyKOe,,
WebGLPlayer,0.0,7,1.2,9,2,1773513719.0,3,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,BeqoVuxuZO0PUs7f1Ifz,,
WebGLPlayer,,100,1.0,100,6,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Bg0GMwkUp0414ZLc1WB8,2026-02-25 05:44:34.955000+00:00,
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,CEep5uXEOqt5O1o7vp9H,2026-02-25 04:46:13.673000+00:00,
WebGLPlayer,,100,1.0,100,4,,1,,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,CH0yfVzDUD1SiJGsWcs5,2026-02-25 05:28:05.417000+00:00,
WebGLPlayer,0.0,7,1.2,9,3,1773513875.0,3,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Cfn2EeTNqxymwUgFPGDj,,
WebGLPlayer,0.0,100,1.2,100,1,1773429070.0,1,0.0,80f5c49a-8647-4327-9b68-e2ca0916ea0d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Ch1TJaMh10qYTArAdPlk,,
WebGLPlayer,0.0,17,1.2,14,6,1773258051.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,CixPzqnCo6um5GT0Vl54,,
WebGLPlayer,,100,1.1,100,1,1772571796.0,1,,2d5ef946-9e9a-4018-b0d8-4d3f20014078,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,D7dRn08OMFGJU9ZBrflZ,1772571796376,Dog
WebGLPlayer,,8,1.1,7,3,1772511622.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,D95EGwpFO6VbR2jRbNTj,1772511622189,Dog
WebGLPlayer,,8,1.1,7,3,1772511622.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,Dg6fF0Yf23qJbCKumXqS,1772511622188,Dog
WebGLPlayer,,100,1.1,100,1,1772574371.0,1,,3e570f88-d491-4348-bcae-97ec49934a2b,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,DlREoz6J1iNLyytTVOd4,1772574371478,Dog
WebGLPlayer,0.0,100,1.2,100,1,1773459707.0,1,0.0,d71ee579-56ef-4668-8d24-9e7ca82c31f0,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,EB1gDS40yNAyVvfhDeB3,,
WebGLPlayer,0.0,23,1.2,23,2,1773258426.0,2,0.0,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,EBdqAnQXEQzIB2gqP3Ac,,
WebGLPlayer,,100,1.0,100,4,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,EGIBRreOAR100fbfuCZS,2026-02-26 06:58:21.724000+00:00,
WebGLPlayer,,100,1.1,100,1,1772512961.0,1,,55597b92-93c4-40b8-bc6e-3eb02df12ed6,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,Ef5cNTJA6xkY1AaioQ8o,1772512961864,Dog
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,EysyW37UQkKXYb7IrLtb,2026-02-25 05:12:49.150000+00:00,
WebGLPlayer,,100,1.1,100,1,1772570484.0,1,,535c35fa-1611-4b2c-9a64-0a7b01315073,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,FR1G7TRqQCIWPlS4FDYd,1772570484881,Dog
WebGLPlayer,,100,1.1,100,3,1772672937.0,1,,42993cc6-9738-4aac-ae31-6d6f44a79105,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,FTfNKSRNkvlyFlkHMAHV,1772672937045,Dog
WebGLPlayer,,100,1.1,100,1,1772903196.0,1,,a9e7478e-0cb7-4f7f-ae7f-1a024e172003,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,GAULXBmPpt3LiNwyWeJz,1772903196485,Dog
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,GFCxGwL3WRMFywRUApAw,2026-02-25 05:06:49.532000+00:00,
WebGLPlayer,,2,1.1,4,1,1772588283.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,GHAyPQHM1cWuBQHRKH0e,1772588283094,Dog
WebGLPlayer,0.0,100,1.2,100,1,1773692756.0,1,1.0,33b791e3-8bd2-48b7-a22f-dde04234ab7b,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,GHyzl1wiWuxAmTyDNWyW,,
WebGLPlayer,0.0,7,1.2,9,2,1773513719.0,3,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,GNB1TqxepxCVlhA4xM8N,,
WebGLPlayer,,100,1.0,100,5,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,Gg5RmCVw52DmOMlIXlqS,2026-02-26 04:10:37.683000+00:00,
WebGLPlayer,,100,1.1,100,1,1772674165.0,1,,e7a86bc3-4385-4dae-b96b-80ec5bb16bab,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,Gg6lT0DtkCUyWU2AwSQh,1772674165926,Dog
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Gnox7jXhbzdDniSDR0Zq,2026-02-25 04:28:08.272000+00:00,
